country_code,country_name,country_longitude,country_latitude
AFG,Afghanistan,67.709953,33.93911
ALB,Albania,20.168331,41.153332
DZA,Algeria,1.659626,28.033886
ASM,American Samoa,-170.132217,-14.270972
AND,Andorra,1.601554,42.546245
AGO,Angola,17.873887,-11.202692
AIA,Anguilla,-63.068615,18.220554
ATA,Antarctica,-0.071389,-75.250973
ATG,Antigua and Barbuda,-61.796428,17.060816
ARG,Argentina,-63.616672,-38.416097
ARM,Armenia,45.038189,40.069099
ABW,Arub,-69.968338,12.52111
AUS,Australia,133.775136,-25.274398
AUT,Austria,14.550072,47.516231
AZE,Azerbaijan,47.576927,40.143105
BHS,Bahamas,-77.39628,25.03428
BHR,Bahrain,50.637772,25.930414
BGD,Bangladesh,90.356331,23.684994
BRB,Barbados,-59.543198,13.193887
BLR,Belarus,27.953389,53.709807
BEL,Belgium,4.469936,50.503887
BLZ,Belize,-88.49765,17.189877
BEN,Benin,2.315834,9.30769
BMU,Bermuda,-64.75737,32.321384
BTN,Bhutan,90.433601,27.514162
BOL,Bolivia,-63.588653,-16.290154
BIH,Bosnia and Herzegowina,17.679076,43.915886
BWA,Botswana,24.684866,-22.328474
BVT,Bouvet Island,3.413194,-54.423199
BRA,Brazil,-51.92528,-14.235004
IOT,British Indian Ocean Territory,71.876519,-6.343194
VGB,British Virgin Islands,-64.639968,18.420695
BRN,Brunei,114.727669,4.535277
BGR,Bulgaria,25.48583,42.733883
BFA,Burkina Faso,-1.561593,12.238333
003,Burma,95.956223,21.913965
BDI,Burundi,29.918886,-3.373056
KHM,Cambodia,104.990963,12.565679
CMR,Cameroon,12.354722,7.369722
CAN,Canada,-106.346771,56.130366
CPV,Cape Verde,-24.013197,16.002082
001,Carribean,-82.0345582,33.3837507
CYM,Cayman Islands,-80.566956,19.513469
CAF,Central African Republic,20.939444,6.611111
TCD,Chad,18.732207,15.454166
CHL,Chile,-71.542969,-35.675147
CHN,China,104.195397,35.86166
CXR,Christmas Island,105.690449,-10.447525
CCK,Cocos (Keeling) Islands,96.8333333, -12
COL,Colombia,-74.297333,4.570868
COM,Comoros,43.872219,-11.875001
COG,Congo,15.827659,-0.228021
COD,"Congo, Democratic Republic",14.890707,-4.7136802
COK,Cook Islands,-159.777671,-21.236736
CRI,Costa Rica,-83.753428,9.748917
CIV,Ivory Coast,-5.54708,7.539989
HRV,Croatia,15.2,45.1
CUB,Cuba,-77.781167,21.521757
CYP,Cyprus,33.429859,35.126413
CZE,Czech Republic,15.472962,49.817492
DNK,Denmark,9.501785,56.26392
DJI,Djibouti,42.590275,11.825138
DMA,Dominica,-61.370976,15.414999
DOM,Dominican Republic,-70.162651,18.735693
TMP,East Timor,125.727539,-8.874217
ECU,Ecuador,-78.183406,-1.831239
EGY,Egypt,30.802498,26.820553
SLV,El Salvador,-88.89653,13.794185
GNQ,Equatorial Guinea,10.267895,1.650801
ERI,Eritrea,39.782334,15.179384
EST,Estonia,25.013607,58.595272
ETH,Ethiopia,40.489673,9.145
FLK,Falkland Islands,-59.8902528,-51.8955991
FRO,Faroe Islands,-6.911806,61.892635
FJI,Fiji,179.414413,-16.578193
FIN,Finland,25.748151,61.92411
